,id,learner_id,left_at,leaving_reason,last_completed_step_at,last_completed_step,last_completed_week_number,last_completed_step_number
97,80184,1ffbf603-f70b-4d1d-8cb9-209be58b7180,2018-03-15 12:57:50 UTC,I don’t have enough time,2018-03-05 15:41:51 UTC,1.2,1.0,2.0
98,80699,9a7fe686-b65c-42d0-8f5c-c33277f4ea03,2018-03-15 21:33:40 UTC,The course was too easy,2018-02-07 16:46:59 UTC,1.4,1.0,4.0
99,80983,a5667831-2a63-4406-9bd4-b4ee5bb8cfb5,2018-03-16 06:59:42 UTC,I don’t have enough time,2018-03-11 21:26:37 UTC,1.19,1.0,19.0
100,81188,1de83b88-5625-42ba-8251-6da5c933ba1f,2018-03-16 11:48:30 UTC,I don’t have enough time,,,,
101,81268,57f191e3-8285-4155-abb7-faa92705c6c3,2018-03-16 13:53:12 UTC,The course won’t help me reach my goals,2018-03-16 13:52:17 UTC,1.7,1.0,7.0
102,81729,f017d96e-e2db-4c0d-a586-4d2a3a2174bd,2018-03-17 09:16:13 UTC,Other,2018-02-24 13:45:02 UTC,3.2,3.0,20.0
103,81973,fee68e42-5788-4c7b-93ae-cacafa3c53b6,2018-03-17 15:41:53 UTC,The course was too easy,2018-03-03 17:46:43 UTC,1.12,1.0,12.0
104,82062,9b193413-fd25-442b-a95d-974d939ca7cb,2018-03-17 18:04:05 UTC,Other,2018-03-12 11:46:04 UTC,3.2,3.0,20.0
105,82149,86d97a50-8ce6-43ae-8c4c-dee110de2c0b,2018-03-17 20:35:45 UTC,The course was too hard,,,,
106,82172,54c0aefb-90d6-4c7d-8e6a-0ea58dd18235,2018-03-17 20:50:03 UTC,Other,,,,
107,82511,44714f8e-f493-403e-b85b-b940110a2ec7,2018-03-18 11:59:00 UTC,The course was too hard,,,,
108,82595,e2144e05-c9b6-44fb-858c-c21b4096a105,2018-03-18 13:50:47 UTC,The course was too hard,,,,
109,82708,38329f6f-807c-4020-bc75-11ad75896266,2018-03-18 16:37:03 UTC,The course wasn’t what I expected,2018-03-10 15:59:34 UTC,1.19,1.0,19.0
110,83767,b3084383-c5b7-46ae-8022-d8fc5a501200,2018-03-19 14:22:27 UTC,I don’t have enough time,,,,
111,84053,ae52d578-63d3-4aa5-827d-0d64b200dd21,2018-03-19 18:41:21 UTC,Other,,,,
112,84176,a06f9e02-a040-41e8-950a-f4176321a105,2018-03-19 20:53:39 UTC,Other,2018-02-10 23:10:48 UTC,1.2,1.0,2.0
113,84734,9939a38c-e823-4ff5-b66a-5e2d27740992,2018-03-20 11:20:42 UTC,The course was too hard,2018-03-03 14:54:02 UTC,3.2,3.0,20.0
114,84973,f4c1b1bd-38ac-46ab-8366-0a4192e55cd6,2018-03-20 14:01:35 UTC,The course was too hard,2018-02-12 12:01:40 UTC,1.1,1.0,1.0
115,86431,cf9f7326-ff26-4da1-b526-c47f9e7ef6a6,2018-03-21 14:57:26 UTC,Other,2018-03-19 16:54:25 UTC,3.2,3.0,20.0
116,86661,816847c6-be93-4d31-b5ec-5ad661890111,2018-03-21 19:29:09 UTC,Other,,,,
117,86958,485a3f1d-f71e-43be-ac13-5fa0e8e98c03,2018-03-22 05:22:08 UTC,The course won’t help me reach my goals,2018-03-22 05:17:12 UTC,3.2,3.0,20.0
118,87404,5f88eaa4-70de-46e4-ab0c-d30f7b7d468f,2018-03-22 14:13:54 UTC,Other,,,,
119,87644,4c5a73c0-c1a4-4fa8-ac87-5f9b71d2e6d0,2018-03-22 17:43:41 UTC,Other,,,,
120,87871,b5d35f13-82b2-4376-926f-ffa796c4f163,2018-03-22 23:06:37 UTC,The course was too hard,2018-03-12 18:50:53 UTC,1.7,1.0,7.0
